id;name;work_flow;preferred_language;preferred_currency;primary_country;primary_address;secondary_country;secondary_address;primary_contact_name;primary_contact_designation;primary_contact_email;primary_contact_phone;secondary_contact_name;secondary_contact_designation;secondary_contact_email;secondary_contact_phone;file_upload_path;is_active;created_by;created_at;updated_by;updated_at
1;Lek Generic;channels;English;INR;India;Mall;US;Russian Sports Frozen;aggregate Hat;Branding synergistic;Dakota functionalities;generate Bedfordshire;core Borders;Computer Loan;SMS;back-end;Switchable Account fault-tolerant;true;Azerbaijanian Account blue;2021-05-07;navigating Fresh Cotton;2021-05-08
2;Moroccan Seamless Loan;Central Lilangeni Account;English;INR;India;hack contextually-based;US;system;JBOD heuristic Cambridgeshire;Hat;RAM Technician;Rubber Practical eco-centric;payment unleash;panel panel;Steel;frictionless;Indiana system frictionless;false;Jewelery AGP Ergonomic;2021-05-07;Rial Account Market;2021-05-08
3;International intelligence Generic;Supervisor;Spanish;USD;India;Spurs Bedfordshire;US;Virginia Division;Pants Branding Future;protocol online JSON;transmitter cross-platform Buckinghamshire;Car Knoll Metical;Group deposit withdrawal;Gorgeous;dynamic U.S. deposit;Central America;solution-oriented;false;card implement indigo;2021-05-08;Beauty e-tailers enable;2021-05-07
4;Cuban;Avon virtual CFA;Hindi;INR;India;Loan;US;networks optical Brooks;gold Palestinian Croatia;bypassing Bahraini Internal;sticky Ridge deliver;Cotton synthesizing;Chief USB application;capacitor Interface Bedfordshire;Account;payment integrate;payment bypass;true;Loan;2021-05-08;Liaison;2021-05-08
5;payment program transform;fresh-thinking Tools;Hindi;INR;US;quantify Bacon;US;AGP;connect deposit Units;regional connect;Future Michigan feed;Congolese Sausages;JBOD Polarised;Incredible Nevada;Belarussian global Awesome;Iceland Computers application;system Incredible;false;metrics Computer;2021-05-07;Granite;2021-05-07
6;Division;and Tuna;English;INR;India;Paradigm Account Bedfordshire;India;Walk;Group mobile;hacking generate driver;Organized;Books Producer Bedfordshire;South;(Malvinas);Loan productivity;Investment Horizontal;Tuna SDR plum;false;Plains Multi-layered;2021-05-07;e-markets Regional Tuna;2021-05-08
7;Iowa blockchains;Director alliance Wooden;Hindi;USD;US;compress redundant;India;Division;Planner;redefine architect Plastic;iterate Ball;multi-state GB;data-warehouse generating;Georgia Toys Bedfordshire;impactful;JSON turn-key;e-commerce Toys Engineer;true;Assimilated Manager Books;2021-05-07;Czech;2021-05-07
8;logistical interfaces;Frozen;Hindi;USD;US;Belgium;US;Leu;Avon;Market;Dirham;Berkshire;Mobility;deposit Car national;Customer Liaison;red pixel;Supervisor;false;Triple-buffered;2021-05-08;invoice;2021-05-07
9;indigo eyeballs;Sleek;Hindi;INR;US;6th Caribbean dynamic;India;withdrawal;Switchable payment;lavender Tactics Tasty;Account;Mauritius;Account;deposit deposit;Generic deposit;withdrawal database Fresh;Arkansas open-source bi-directional;false;Mexico Applications;2021-05-08;foreground paradigms;2021-05-08
10;Customer programming;Baht Investor;English;USD;US;invoice Forward;US;Group red Lempira;Sri Avon e-services;Riel solutions Account;transmit orange;THX;up Colorado;Naira;sexy;Plastic Chief explicit;Steel;true;Connecticut Optimization;2021-05-07;application Officer;2021-05-08
