id;name;type;description;label;placeholder;is_mandatory;is_active;created_by;created_at;updated_by;updated_at
1;Organic;Text;Refined Re-engineered cyan;intermediate;array Shoes;true;false;Alaska Hryvnia;2021-05-10;harness;2021-05-09
2;Honduras;Text;District Incredible;Fantastic;navigate;false;false;wireless Chicken;2021-05-09;Squares;2021-05-09
3;bleeding-edge;Text;neural Applications distributed;up Soap e-business;Florida;true;true;Licensed Team-oriented;2021-05-09;SMTP Pants;2021-05-09
4;panel Intelligent;Text;Account connecting index;interface Avon;Iraq Shoes Field;true;false;mint encryption navigate;2021-05-09;24/365;2021-05-09
5;withdrawal;Text;Rubber indigo reciprocal;deposit Delaware;Inlet;true;false;fault-tolerant mobile;2021-05-10;Enterprise-wide Colombia explicit;2021-05-09
6;Dynamic;Text;Soft Creative;client-driven hacking;Pants withdrawal;true;true;coherent;2021-05-10;optimize Representative;2021-05-10
7;Investment enhance hack;Text;Account;zero;context-sensitive;false;true;Card;2021-05-10;interactive Accountability;2021-05-09
8;systems Account Senior;Text;Steel Supervisor Avon;hacking Engineer;sexy action-items;true;true;Fresh;2021-05-09;Tunnel frame;2021-05-09
9;Handcrafted Plastic;Text;Pound Outdoors;Directives Senior;bus Camp;true;true;Baby synergistic connect;2021-05-09;IB e-markets;2021-05-09
10;Facilitator synthesizing markets;Text;sky XML Web;well-modulated;Ouguiya monitor back-end;false;false;encoding;2021-05-09;superstructure;2021-05-10
